variable,depth,time,value
fluorescence,43,2017-01-09T04:54:47Z,1.2242998365330175
fluorescence,43,2017-01-09T05:54:47Z,1.3198304829329757
fluorescence,43,2017-01-09T06:54:47Z,1.4153611293329338
fluorescence,43,2017-01-09T07:54:47Z,1.5108917757328921
fluorescence,43,2017-01-09T08:54:47Z,1.458182876187802
fluorescence,43,2017-01-09T09:54:47Z,1.3625737068993025
fluorescence,43,2017-01-09T10:54:47Z,1.2669645376108032
fluorescence,43,2017-01-09T11:54:47Z,1.1713553683223037
fluorescence,43,2017-01-09T12:54:47Z,1.0757461990338042
fluorescence,43,2017-01-09T13:54:47Z,0.9801370297453047
fluorescence,43,2017-01-09T14:54:47Z,0.8845278604568053
fluorescence,43,2017-01-09T15:54:47Z,0.7889186911683058
fluorescence,43,2017-01-09T16:54:47Z,0.6933095218798064
fluorescence,43,2017-01-09T17:54:47Z,0.6539735632053467
fluorescence,43,2017-01-09T18:54:47Z,0.6554336599496903
fluorescence,43,2017-01-09T19:54:47Z,0.6568937566940338
fluorescence,43,2017-01-09T20:54:47Z,0.6583538534383774
fluorescence,43,2017-01-09T21:54:47Z,0.6598139501827209
fluorescence,43,2017-01-09T22:54:47Z,0.6612740469270645
fluorescence,43,2017-01-09T23:54:47Z,0.6627341436714079
fluorescence,43,2017-01-10T00:54:47Z,0.6641942404157515
fluorescence,43,2017-01-10T01:54:47Z,0.665654337160095
fluorescence,43,2017-01-10T02:54:47Z,0.6671144339044386
fluorescence,43,2017-01-10T03:54:47Z,0.6685745306487821
fluorescence,43,2017-01-10T04:54:47Z,0.6700346273931257
fluorescence,43,2017-01-10T05:54:47Z,0.6714947241374691
fluorescence,43,2017-01-10T06:54:47Z,0.6729548208818127
fluorescence,43,2017-01-10T07:54:47Z,0.6744149176261562
fluorescence,43,2017-01-10T08:54:47Z,0.6758750143704998
fluorescence,43,2017-01-10T09:54:47Z,0.6773351111148433
fluorescence,43,2017-01-10T10:54:47Z,0.6787952078591869
fluorescence,43,2017-01-10T11:54:47Z,0.6802553046035303
fluorescence,43,2017-01-10T12:54:47Z,0.6817154013478739
fluorescence,43,2017-01-10T13:54:47Z,0.6562809065849773
fluorescence,43,2017-01-10T14:54:47Z,0.5950739939920621
fluorescence,43,2017-01-10T15:54:47Z,0.5338670813991468
fluorescence,43,2017-01-10T16:54:47Z,0.4726601688062317
fluorescence,43,2017-01-10T17:54:47Z,0.41145325621331647
fluorescence,43,2017-01-10T18:54:47Z,0.3502463436204013
fluorescence,43,2017-01-10T19:54:47Z,0.4919383294931172
fluorescence,43,2017-01-10T20:54:47Z,0.6573637577243634
